A.O. SMITH
ACE
AIRTAP
AMERICAN
AMERICAN HARDWARE
AMERICAS BEST
APEX
APPOLLO
AQUA TEMP
AQUA THERM
AQUAMATIC
AQUASTAR
BEST
BEST DELUXE
BOCK
BOSCH
BRADFORD WHITE
CHAMPION
CRAFTMASTER
D.W. WHITEHEAD
DE-LIMER
DELUXE
EAGLE
ECONOMIZER 6
ECOSENSE
EEMAX
ENERGY SAVER
ENERGY SERVER
ENVIROTEMP
FOUR MOST
FREEDOM
GARRISON
GE
GIANT
GLASCOTE
GSW
HOTMASTER
HOTPOINT
HOTSTREAM
HTP
HYDROHEAT
HYDROHOT
JETGLAS
JOHNWOOD
KENMORE
KING-KLEEN
KING-LINE
LOCHINVAR
MARATHON
MASTER PLUMBER
MEDIAL
MOFFAT
MONITOR
NATIONAL
NATIONALINE
NEPTUNE
OLSEN
PALOMA
PALOMA/WAIWELA
PENFIELD
PENGUIN
PERMA-GLAS
POLARIS
POWER MISER 12
PREMIER
PREMIER PLUS
PRESTIGE
PRO TANKLESS
PRO-LINE
PROFESSIONAL
PROLINE
PROMAX
QUAKER
QUICK-FLO
RAYPAK
RAYWALL
RELIANCE
REVERE
RHEEM
RHEEM-RUUD
RICHMOND
RIVERIA
SANDS
SCOUT
SEARS
SELECT
SENTINAL
SEPCO
SERVISTAR
SHAROCK
SPECIAL DELUXE
STANDARD
STATE
SUPER EAGLE
SUPER-FLO
SUPER-STOR
SUPERFLUE
SUPREME
SURE COMFORT
SURE-FIRE
TAKAGI
THE EARLS ENERGY
THE ENERGY SAVER PLUS
THEMRM
THORO-CLEAN
TRU VALUE
TRUE-TEST
TTW
U.S. CRAFTMASTER
U.S.SUPPLY
VANGUARD
WHIRLPOOL
XCL ENERGY SAVER
