"AAON, INC."
"AIR-CON INTERNATIONAL, INC."
AIRE-FLO
AIREASE
AIRQUEST
AMANA HEATING AND AIR CONDITIONING
"AMERICAN STANDARD, INC."
ARCOAIRE
"ARMSTRONG AIR CONDITIONING, INC."
BARD MANUFACTURING COMPANY
BROAN
BRYANT HEATING AND COOLING SYSTEMS
CARRIER AIR CONDITIONING
COAIRE CORPORATION
COLEMAN
COMFORTMAKER
CONCORD
DAY & NIGHT
DAYTON ELECTRIC MANUFACTURING COMPANY
"DIAMONDAIR, INC."
DUCANE
EAIR LLC
ECOTEMP
ELECT-AIRE
ENVIROMASTER INTERNATIONAL
EVOCON
FRASER - JOHNSTON
FRIGIDAIRE
FUJITSU
GARRISON
GD MIDEA
GIBSON
GOODMAN
GRANDAIRE
GREE ELECTRIC
"GUANGDONG CHIGO AIR-CONDITIONING CO., LTD."
GUARDIAN
HAIER AMERICA
"HEAT CONTROLLER, INC."
HEIL
ICECO
ICP 
INTERTHERM
JOHNSON CONTROLS
KEEPRITE
KELVINATOR
KENMORE
KLIMAIRE PRODUCTS INC.
LE PROHON INC.
"LENNOX INDUSTRIES, INC."
"LG ELECTRONICS, INC."
LUXAIRE
MARATHERM
MAYTAG
MEQUAY INTERNATIONAL
MEDALLION
MILLER
NATIONAL COMFORT PRODUCTS
"NORDYNE, INC."
NUTONE
PAYNE HEATING AND COOLING
PHILCO
PRIDIOM GROUP LLC
QUIETSIDE
RHEEM MANUFACTURING
RICHMOND
RUUD 
SAMSUNG ELECTRONICS CO. LTD.
TAPPAN
TEMPSTAR
"TEXAS FURNACE, LLC"
TRANE
"UNITED REFRIGERATION DISTRIBUTORS, INC."
V-AIRE
WEATHERKING
WESTINGHOUSE
WHIRLPOOL
XENON
YORK
"YOUR SOURCE PRODUCTS, INC."
